candidate,search_mode,roc_auc,pr_auc,pr_lift,best_f1,best_f1_threshold,best_f1_recall,best_f1_precision
weighted_ensemble,full,0.99986995366993,0.9763051887103704,930.1852332278413,0.9641884816753926,0.9249999999999999,0.939975500204165,0.9896818572656921
xgb_recall_focused,full,0.9998491584429239,0.9757225688819445,929.6301359414042,0.9608496459808413,0.95,0.9420171498570845,0.9804504887377815
xgb_undersampled,full,0.9998538302521468,0.9747623330207235,928.7152609321835,0.9573578595317725,0.875,0.9350755410371581,0.9807280513918629
xgb_regularized,full,0.9998315845009031,0.9719534685255622,926.0390851771532,0.9251294305057746,0.95,0.9485504287464271,0.9028371550719005
hist_gradient_boosting,full,0.9994809899021653,0.897789825177777,855.3788790426231,0.23517312307164895,0.95,0.9804001633319722,0.13361157484696717
extra_trees,full,0.9992503935998395,0.8946087964922461,852.3481198661166,0.8436692506459949,0.725,0.7999183340138832,0.8924829157175399
balanced_random_forest,full,0.9993114569913718,0.8766453378183031,835.2332420702992,0.8302411873840445,0.9249999999999999,0.7309105757452021,0.9608158883521203
