split,roc_auc,pr_auc,pr_lift,precision,recall,f1,threshold,positive_rate
train,0.9994723321015975,0.7880156055960699,780.5926022996282,0.6316130225675176,0.7247930375716408,0.6750024710882673,0.9249999999999999,0.001009509446124103
valid,0.99986995366993,0.9763051887103704,930.1852332278413,0.9896818572656921,0.939975500204165,0.9641884816753926,0.9249999999999999,0.0010495814745655422
test,0.9999192840989607,0.9850735155025756,903.7762875921459,0.994067237969677,0.9487260144699591,0.9708675358120071,0.9249999999999999,0.0010899528224258051
